日期,经度,纬度
2020-01-08,120.209947,30.245853
2020-01-08,117.120098,36.6512
2020-01-08,112.23813,30.326857
2020-01-08,120.447128,36.389639
2020-01-09,117.120098,36.6512
2020-01-09,118.047649,36.814939
2020-01-09,117.216798,36.857233
2020-01-09,100.24646,26.671508
2020-01-13,119.128755,36.715778
2020-01-13,114.305215,30.592935
2020-01-13,108.314844,22.826972
2020-01-13,120.374402,36.168923
2020-01-14,116.990991,36.670865
2020-01-14,114.317531,30.52863
2020-01-14,120.410606,36.098988
2020-01-15,120.43061,36.178271
2020-01-15,120.425975,36.192699
2020-01-15,120.410606,36.098988
2020-01-16,113.930057,29.721708
2020-01-16,117.035703,36.172904
2020-01-16,117.120098,36.6512
2020-01-16,119.174741,36.712789
2020-01-16,117.817406,35.51918
2020-01-16,,
2020-01-16,114.317531,30.52863
2020-01-16,116.600756,35.392521
2020-01-16,116.600756,35.392521
2020-01-16,116.610596,35.420506
2020-01-16,114.221167,30.773612
2020-01-16,119.329604,35.402304
2020-01-16,117.561539,34.056027
2020-01-17,117.64219,35.50653
2020-01-17,,
2020-01-17,119.179161,36.84903
2020-01-17,,
2020-01-17,114.305215,30.592935
2020-01-17,115.449467,35.244258
2020-01-17,117.035703,36.172904
2020-01-17,117.50222,36.018068
2020-01-17,117.244312,36.159144
2020-01-17,117.15067,36.191463
2020-01-17,100.24646,26.671508
2020-01-17,106.654234,29.718557
2020-01-17,114.317531,30.52863
2020-01-17,115.506389,35.230899
2020-01-17,114.305215,30.592935
2020-01-17,,
2020-01-17,114.317531,30.52863
2020-01-17,113.658097,34.745795
2020-01-17,113.658097,34.745795
2020-01-17,119.998481,36.298628
2020-01-17,114.305215,30.592935
2020-01-17,121.158434,36.776378
2020-01-17,114.305215,30.592935
2020-01-17,119.128755,36.715778
2020-01-18,118.065677,34.874555
2020-01-18,,
2020-01-18,117.50222,36.018068
2020-01-18,117.548003,35.991696
2020-01-18,117.15067,36.191463
2020-01-18,,
2020-01-18,115.469381,35.246531
2020-01-18,116.096744,35.802077
2020-01-18,114.255008,30.618096
2020-01-18,117.290345,31.797813
2020-01-18,117.290345,31.797813
2020-01-18,117.035703,36.172904
2020-01-18,117.035703,36.172904
2020-01-18,117.15067,36.191463
2020-01-18,119.937164,37.18129
2020-01-18,119.961884,37.18652
2020-01-18,110.467385,19.942495
2020-01-18,118.871181,31.731634
2020-01-18,118.798128,31.968592
2020-01-18,117.305928,34.780845
2020-01-18,117.305928,34.780845
2020-01-18,117.263164,34.795063
2020-01-18,114.255008,30.618096
2020-01-18,118.057655,36.78892
2020-01-18,114.305215,30.592935
2020-01-18,119.942657,37.169795
2020-01-18,119.937418,37.181906
2020-01-18,119.961884,37.18652
2020-01-19,121.362526,37.577688
2020-01-19,,
2020-01-19,117.120098,36.6512
2020-01-19,115.857963,28.683016
2020-01-19,114.305215,30.592935
2020-01-19,117.677736,36.214397
2020-01-19,119.174741,36.712789
2020-01-19,117.129063,36.194968
2020-01-19,117.129063,36.194968
2020-01-19,119.755597,36.382595
2020-01-19,117.817406,35.51918
2020-01-19,117.761122,35.525857
2020-01-19,106.516545,29.598989
2020-01-19,,
2020-01-19,114.255008,30.618096
2020-01-19,115.943992,36.45745
2020-01-19,115.943992,36.45745
2020-01-19,116.271653,36.684195
2020-01-19,121.443382,37.516087
2020-01-19,121.360715,37.507586
2020-01-19,120.709254,36.928059
2020-01-19,122.144165,37.42604
2020-01-19,102.932521,25.100552
2020-01-19,120.383096,36.266249
2020-01-19,120.386627,36.266455
2020-01-19,121.230543,37.537939
2020-01-19,102.932521,25.100552
2020-01-19,120.383096,36.266249
2020-01-19,120.386627,36.266455
2020-01-19,121.230543,37.537939
2020-01-19,102.932521,25.100552
2020-01-19,120.383096,36.266249
2020-01-19,120.386627,36.266455
2020-01-19,121.230543,37.537939
2020-01-19,121.360151,37.506947
2020-01-19,,
2020-01-19,102.932521,25.100552
2020-01-19,120.383096,36.266249
2020-01-19,120.410606,36.098988
2020-01-19,120.644,36.184075
2020-01-20,117.50222,36.018068
2020-01-20,117.50222,36.018068
2020-01-20,117.216798,36.857233
2020-01-20,102.932521,25.100552
2020-01-20,117.817406,35.51918
2020-01-20,,
2020-01-20,117.106363,36.199477
2020-01-20,,
2020-01-20,106.654234,29.718557
2020-01-20,117.216798,36.857233
2020-01-20,112.204251,31.03542
2020-01-20,,
2020-01-20,116.271653,36.684195
2020-01-20,116.289354,36.657282
2020-01-20,116.289354,36.657282
2020-01-20,116.291648,36.659969
2020-01-20,116.291648,36.659969
2020-01-20,116.26036,36.570242
2020-01-20,121.433868,37.520786
2020-01-20,121.443382,37.516087
2020-01-20,121.443382,37.516087
2020-01-20,121.314593,37.531048
2020-01-20,121.314593,37.531048
2020-01-20,121.257866,37.560516
2020-01-20,122.131121,37.494737
2020-01-20,0.0,0.0
2020-01-20,121.209741,37.472542
2020-01-20,121.194446,37.441619
2020-01-20,121.194446,37.441619
2020-01-20,121.20568,37.46956
2020-01-20,121.227915,37.529449
2020-01-20,121.088646,37.50609
2020-01-20,121.088646,37.50609
2020-01-20,121.241073,37.559948
2020-01-20,121.241073,37.559948
2020-01-20,121.162425,37.586472
2020-01-20,121.373016,37.549835
2020-01-20,121.264061,37.507974
2020-01-20,121.387898,37.540913
2020-01-20,0.0,0.0
2020-01-20,118.721525,36.878467
2020-01-20,0.0,0.0
2020-01-20,120.043424,35.885256
2020-01-20,0.0,0.0
2020-01-20,114.221167,30.773612
2020-01-20,120.383096,36.266249
2020-01-20,117.486348,37.296949
2020-01-20,117.511008,37.475124
2020-01-21,117.50222,36.018068
2020-01-21,117.447087,35.925486
2020-01-21,117.50222,36.018068
2020-01-21,117.543137,35.992988
2020-01-21,106.550464,29.563761
2020-01-21,0.0,0.0
2020-01-21,117.735233,35.911703
2020-01-21,117.781693,35.89384
2020-01-21,114.305215,30.592935
2020-01-21,120.447128,36.389639
2020-01-21,114.305215,30.592935
2020-01-21,116.97271,35.415473
2020-01-21,121.314593,37.531048
2020-01-21,0.0,0.0
2020-01-21,121.258988,37.506193
2020-01-21,121.263751,37.496131
2020-01-21,118.326443,35.065282
2020-01-21,117.7349,35.912141
2020-01-21,117.7349,35.912141
2020-01-21,117.770596,35.904818
2020-01-21,121.430738,37.452741
2020-01-21,121.383415,37.542096
2020-01-21,120.059451,35.888027
2020-01-21,0.0,0.0
2020-01-21,121.375591,37.545054
2020-01-21,121.382861,37.548294
2020-01-21,121.382861,37.548294
2020-01-21,121.393607,37.602031
2020-01-21,114.424314,30.606697
2020-01-21,116.891334,36.668909
2020-01-21,116.891334,36.668909
2020-01-21,118.016974,37.383542
2020-01-21,112.616324,31.176019
2020-01-21,114.255008,30.618096
2020-01-21,114.255008,30.618096
2020-01-21,114.221167,30.773612
2020-01-21,120.43061,36.178271
2020-01-21,120.468956,36.107538
2020-01-22,117.50222,36.018068
2020-01-22,117.482761,36.032971
2020-01-22,120.385819,36.091813
2020-01-22,120.400431,36.300975
2020-01-22,120.400431,36.300975
2020-01-22,120.318257,36.066174
2020-01-22,120.318257,36.066174
2020-01-22,119.935137,37.133377
2020-01-22,119.935137,37.133377
2020-01-22,119.766859,37.073093
2020-01-22,119.766859,37.073093
2020-01-22,120.37953,36.957439
2020-01-22,115.988491,36.434645
2020-01-22,0.0,0.0
2020-01-22,114.424314,30.606697
2020-01-22,117.15992,36.747706
2020-01-22,117.15992,36.747706
2020-01-22,116.780556,36.553733
2020-01-22,116.780556,36.553733
2020-01-22,116.988004,36.649269
2020-01-22,119.755597,36.382595
2020-01-22,117.061222,36.705641
2020-01-22,114.424314,30.606697
2020-01-22,117.15992,36.747706
2020-01-22,117.15992,36.747706
2020-01-22,116.780556,36.553733
2020-01-22,114.424314,30.606697
2020-01-22,117.15992,36.747706
2020-01-22,117.15992,36.747706
2020-01-22,116.780556,36.553733
2020-01-22,114.424314,30.606697
2020-01-22,117.15992,36.747706
2020-01-22,117.15992,36.747706
2020-01-22,116.780556,36.553733
2020-01-22,114.424314,30.606697
2020-01-22,117.15992,36.747706
2020-01-22,117.120098,36.6512
2020-01-22,118.047649,36.814939
2020-01-22,114.424314,30.606697
2020-01-22,117.15992,36.747706
2020-01-22,117.781693,35.89384
2020-01-22,0.0,0.0
2020-01-22,117.585577,34.782613
2020-01-22,0.0,0.0
2020-01-22,120.328318,36.06601
2020-01-22,120.658469,36.45125
2020-01-22,120.658469,36.45125
2020-01-22,120.658898,36.448706
2020-01-22,120.658898,36.448706
2020-01-22,120.658898,36.448706
2020-01-22,120.658898,36.448706
2020-01-22,120.660592,36.444899
2020-01-22,120.660592,36.444899
2020-01-22,120.828811,36.587782
2020-01-22,116.972742,35.414706
2020-01-22,0.0,0.0
2020-01-22,121.136877,37.574758
2020-01-22,121.356435,37.566586
2020-01-22,121.249191,37.562006
2020-01-22,0.0,0.0
2020-01-22,114.305215,30.592935
2020-01-22,121.391382,37.539297
2020-01-22,121.391382,37.539297
2020-01-22,121.600512,37.386901
2020-01-22,114.221167,30.773612
2020-01-22,120.383096,36.266249
2020-01-22,120.383096,36.266249
2020-01-22,119.942327,37.177017
2020-01-22,120.374402,36.168923
2020-01-22,121.392549,37.431904
2020-01-22,121.26403,37.495644
2020-01-22,121.360151,37.506947
2020-01-22,114.424314,30.606697
2020-01-22,116.891334,36.668909
2020-01-22,116.891334,36.668909
2020-01-22,116.97411,36.658011
2020-01-22,118.798128,31.968592
2020-01-22,116.891334,36.668909
2020-01-22,116.891334,36.668909
2020-01-22,118.057655,36.78892
2020-01-22,114.305215,30.592935
2020-01-22,120.758171,36.927071
2020-01-22,114.221167,30.773612
2020-01-22,120.383096,36.266249
2020-01-22,120.312724,36.064831
2020-01-22,120.016561,35.871423
2020-01-22,120.016561,35.871423
2020-01-22,119.893752,35.750828
2020-01-22,121.158434,36.776378
2020-01-22,0.0,0.0
2020-01-23,114.305215,30.592935
2020-01-23,117.340051,36.207702
2020-01-23,121.638034,36.81549
2020-01-23,0.0,0.0
2020-01-23,118.980996,36.352256
2020-01-23,118.970717,36.35236
2020-01-23,116.086185,37.226437
2020-01-23,116.142478,37.172499
2020-01-23,120.37953,36.957439
2020-01-23,120.524301,36.865246
2020-01-23,120.524301,36.865246
2020-01-23,120.519101,36.866722
2020-01-23,120.519101,36.866722
2020-01-23,120.37953,36.957439
2020-01-23,118.980996,36.352256
2020-01-23,118.970717,36.35236
2020-01-23,114.305215,30.592935
2020-01-23,117.526228,36.681259
2020-01-23,117.01059,36.717798
2020-01-23,0.0,0.0
2020-01-23,114.305215,30.592935
2020-01-23,114.159437,32.257666
2020-01-23,114.159437,32.257666
2020-01-23,116.689022,36.228235
2020-01-23,114.305215,30.592935
2020-01-23,114.159437,32.257666
2020-01-23,114.159437,32.257666
2020-01-23,116.689022,36.228235
2020-01-23,114.317531,30.52863
2020-01-23,115.506389,35.230899
2020-01-23,115.506389,35.230899
